Thesis Number;Thesis Title;Thesis Description;CDU/CSU;GRÜNE;AfD;Volt;SPD;FDP
1;EU-Steuern;Die EU soll eigene Steuern erheben dürfen.;Nicht zugestimmt;Zugestimmt;Nicht zugestimmt;Zugestimmt;Nicht zugestimmt;Nicht zugestimmt
2;Verbrennungsmotoren;Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.;Zugestimmt;Nicht zugestimmt;Zugestimmt;Nicht zugestimmt;Nicht zugestimmt;Zugestimmt
3;Seenotrettung;Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.;Nicht zugestimmt;Zugestimmt;Nicht zugestimmt;Zugestimmt;Zugestimmt;Zugestimmt
4;EU-Mitgliedschaft der Ukraine;Die Ukraine soll Mitglied der EU werden.;Zugestimmt;Zugestimmt;Nicht zugestimmt;Zugestimmt;Zugestimmt;Zugestimmt
5;Ökologische Landwirtschaft;Die EU soll vorrangig ökologische Landwirtschaft fördern.;Nicht zugestimmt;Zugestimmt;Nicht zugestimmt;Zugestimmt;Nicht zugestimmt;Nicht zugestimmt
6;Nationale Währung;In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.;Nicht zugestimmt;Nicht zugestimmt;Zugestimmt;Nicht zugestimmt;Nicht zugestimmt;Nicht zugestimmt
7;Geschlechtsidentität im Pass;Die EU soll den Mitgliedstaaten empfehlen; außer „weiblich“ und „männlich“ auch die Eintragung einer anderen Geschlechtsidentität im Pass zu ermöglichen.;Nicht zugestimmt;Zugestimmt; außer „weiblich“ und „männlich“ auch die Eintragung einer anderen Geschlechtsidentität im Pass zu ermöglichen.;Zugestimmt;Zugestimmt
8;Jagd auf Wölfe;Die Jagd auf Wölfe soll in Regionen erlaubt sein; in denen der Bestand dadurch nicht gefährdet ist.;Zugestimmt;Nicht zugestimmt; in denen der Bestand dadurch nicht gefährdet ist.;Nicht zugestimmt;Neutral
9;Photovoltaik für Wohngebäude;Beim Bau neuer Wohngebäude in der EU soll die Errichtung von Photovoltaikanlagen verpflichtend sein.;Nicht zugestimmt;Zugestimmt;Nicht zugestimmt;Zugestimmt;Nicht zugestimmt;Nicht zugestimmt
10;Außenpolitische Entscheidungen;Mehr außenpolitische Entscheidungen der EU sollen mit Mehrheit statt einstimmig getroffen werden.;Zugestimmt;Zugestimmt;Nicht zugestimmt;Zugestimmt;Zugestimmt;Zugestimmt
11;Flugzeugtreibstoff;Der Flugzeugtreibstoff Kerosin soll für Flüge in der EU steuerfrei sein.;Zugestimmt;Nicht zugestimmt;Zugestimmt;Nicht zugestimmt;Nicht zugestimmt;Zugestimmt
12;Europol;Die gemeinsame europäische Polizeibehörde Europol soll weitere Befugnisse erhalten.;Zugestimmt;Zugestimmt;Nicht zugestimmt;Zugestimmt;Zugestimmt;Zugestimmt
13;Öffentlich-rechtlicher Rundfunk;Die EU soll länderübergreifende; mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.;Nicht zugestimmt;Zugestimmt; mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.;Zugestimmt;Nicht zugestimmt
14;Verwerfen der Klimaziele;Die EU soll das Ziel verwerfen; klimaneutral zu werden.;Nicht zugestimmt;Nicht zugestimmt; klimaneutral zu werden.;Nicht zugestimmt;Nicht zugestimmt
